the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.11220394107 29.96310603353),89537,MAGNOLIA DISCOUNT,3415 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,THUMBS UP RACE TWO LLC,3667497.20007,534133.842373
POINT (-90.089272047006 29.945206698915),89471,2150 CLAIBORNE SHELL,2150 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-606-3076,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"2150 CLAIBORNE SHELL, LLC",3674828.80737,527703.080511
POINT (-90.02147218228 30.018821694663),89504,DISCOUNT EAST,4901 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-244-7301,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT EAST, LLC",3695993.59856,554711.652248
POINT (-90.032376124938 30.004970349265),89475,BIG EASY TRAVEL PLAZA,5000 OLD GENTILLY RD,STE:B,NEW ORLEANS,LA,70126,504-943-5000,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MALONEY SEPT LLC.,3692600.21705,549635.427987
POINT (-90.02063449333 30.010602017097),89510,DOWNMAN SHELL,3901 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-982-6291,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"WYNVINA SIX, INC",3696292.92906,551725.698581
POINT (-89.980283519434 30.042458433242),89551,READ SHELL,7358 READ BLVD,,NEW ORLEANS,LA,70128,504-908-5876,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"NKHAN, INC.",3708926.28388,563458.43184
POINT (-90.100217704488 29.940832037626),89492,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,SOUTH CLAIBORNE OPERATIONS,3671379.5771,526074.821438
POINT (-90.076989294557 29.951922709288),89514,EMPIRE EXPRESS,4301 LOUISA DRIVE,A,NEW ORLEANS,LA,70126,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"EMPIRE EXPRESS, LLC",3678691.8167,530187.70942
POINT (-90.079294138276 29.956926728239),89549,QUICK TRIP DISCOUNT,1635 TULANE AVE,,NEW ORLEANS,LA,70112,504-382-5335,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,QUICK TRIP DISCOUNT LLC,3677942.03771,531999.361283
POINT (-90.114455450945 29.961204734603),89543,OM CARROLLTON OIL,3101 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OM CARROLLTON OIL,INC",3666791.6569,533434.86618
POINT (-90.037161039214 29.94512400381),89479,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,NEWTON BROTHERS INC,3691331.988,527855.937343
POINT (-90.109986602005 29.965227078608),89489,CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3668191.0434,534912.625286
POINT (-89.927411706044 30.031851359283),89485,CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES,"TRAN FAMILY VENTURES, LLC",3725700.88537,559802.700125
POINT (-90.113164348953 29.9456816047),89562,UNIVERSITY SHELL,6201 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LA GUARDIA AND MCADAMS ENTERPRISES INC,3667260.57735,527794.413183
POINT (-89.928424162792 30.031405823654),89473,BIG CAT FUEL,13245 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-0113,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GIOE ENTERPRISES INC,3725382.52352,559636.758045
POINT (-90.010462442348 30.011375732797),89508,DISCOUNT ZONE,6711 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"NOLA FUEL ONE, LLC",3699508.90359,552044.074326
POINT (-90.076989294557 29.951922709288),89490,CITY PARK FUEL,1900 W ESPLANDE AVE,STE 202,KENNER,LA,70065,504-484-3435,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"CITY PARK FUEL, LLC",3678691.8167,530187.70942
POINT (-90.068123343535 29.969331868637),89507,DISCOUNT ZONE,1533 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-236-8095,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,SPUR DISCOUNT STORE #3  INC,3681429.45404,536549.216455
POINT (-90.024523587109 29.926890924683),89536,MAGNOLIA DISCOUNT,3054 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-453-0466,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,RICKS GENERAL DEGAULLE LLC,3695409.81814,521271.256953
POINT (-90.093872548237 29.92132042023),89527,JETGO,3720 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-269-0246,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"AL-MALIK, INC",3673465.84385,519001.366455
POINT (-90.007897834289 29.917512281679),89472,4600 DE GAULLE LLC,4600 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,(504)428-4146,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,4600 GEN GAULLE LLC,3700715.35709,517921.405942
POINT (-90.035956879636 30.00513891837),89520,FUEL ZONE,4500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES,FUEL ZONE LLC,3691466.2294,549683.876884
POINT (-90.029849711174 29.968922932795),89529,KEY'S FUEL MART 3,4401 N ROBERTSON ST,,NEW ORLEANS,LA,70117,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"4401 FUEL MART,INC",3693548.93232,536536.338375
POINT (-90.076989294557 29.951922709288),89502,DISCOUNT BROAD CENTER,3303 S BROAD STREET,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT BROAD CENTER, LLC",3678691.8167,530187.70942
POINT (-90.097394809839 29.965075079777),89561,TULANE SHELL,3321 TULANE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,OTTALLAH 2 INC,3672178.50267,534900.137158
POINT (-90.134209735551 29.943438034534),89500,DIAZ MARKET RIVERBEND,600 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-832-2165,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DIAZ II, INC.",3660604.32384,526908.205566
POINT (-90.078837022452 29.975757317365),89476,BIRDIES ON BROAD,1233 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BIRDIES ON BROAD,LLC",3678011.8148,538848.458121
POINT (-90.017773670882 30.008998044946),89501,DISCOUNT -N- OUT,6050 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-248-5772,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT -N- OUT, LLC",3697205.01143,551152.817493
POINT (-90.118274623597 30.005999420975),89515,FLEUR DE LIS CAR CARE CENTER,247 W HARRISON AVE,,NEW ORLEANS,LA,70124,,"1142 - GASOLINE STATIONS, OTHER","BERGERON, C RAY         BERGERON, C RAY",3665409.63412,549711.161108
POINT (-90.049751171858 29.993801843304),89533,LT INVESTMENTS LLC,3400 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LT INVESTMENTS LLC,3687146.58089,545512.110672
POINT (-90.084168083775 29.970220293931),89541,MHM DISCOUNT,617 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"MHM DISCOUNT,LLC",3676346.00501,536816.5458
POINT (-89.963340880637 30.019316778143),89497,DAY & NIGHT DISCOUNT #2,10422 CHEF MENTEUR HWY,B,NEW ORLEANS,LA,70127,504-248-7340,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DAY & NICHT, LLC",3714387.12146,555106.960281
POINT (-90.087495465755 29.966016720879),89484,CANAL STORE #150,2701 CANAL ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2701 CANAL STREET LLC,3675309.15048,535276.497158
POINT (-90.057488226263 29.982677189341),89539,MARDI GRAS TRUCK STOP,2411 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,504-945-1000,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MALONEY CINQUE LTD,3684742.60073,541439.410892
POINT (-90.072566331904 29.99001377818),89524,GENTILLY SHELL,2035 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OTTALLAH, INC",3679940.00904,544054.443406
POINT (-90.018374924861 29.967454849947),89516,FUEL EXPRESS MART,5201 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-376-7699,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GHAZOOL LLC,3697188.08848,536044.001735
POINT (-90.031970825639 29.92878466452),89556,STORE #142,2601 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-5639,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2601 GEN DEGAULLE LLC,3693043.13405,521933.018682
POINT (-90.12824584753 29.949012760981),89506,DISCOUNT ZONE,1400 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-480-8300,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"CARROLLTON DISCOUNT ZONE, LLC",3662471.73075,528955.204864
POINT (-90.096510214866 29.940894853892),89498,DELTA FUEL PLUS,3300 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-895-1126,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,DELTA FUEL MANAGEMENT LLC,3672553.49697,526110.318398
POINT (-90.094553917891 29.943012487539),89557,SUPER DISCOUNT GAS,2727 S CLAIBORNE AVE,UNIT C,NEW ORLEANS,LA,70125,504-363-0054,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"SUPER DISCOUNT GAS, INC",3673164.73307,526887.061438
POINT (-90.018390520251 29.912674264183),89542,MURPHY USA #7138,3921 BEHRMAN HWY,,NEW ORLEANS,LA,70131,504-368-8385,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"MURPHY OIL USA,INC",3697411.75063,516123.84722
POINT (-89.944150215387 29.984568796425),89546,PARADISE TRUCK STOP,2101 PARIS RD,,NEW ORLEANS,LA,70129,504-279-8785,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FISHERMAN'S PARADISE HARBOR MARINA, INC",3720613.15263,542544.505997
POINT (-90.104650882299 29.956681551615),89496,DAVIS STORE 153,1308 S JEFFERSON DAVIS PKWY,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,1308 JEFFERSON DAVIS LLC,3669913.78234,531823.220355
POINT (-90.107017878583 29.979321250404),89483,CANAL SHELL,4701 CANAL ST,,NEW ORLEANS,LA,70119,504-895-0696,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DIAZ II, INC",3669076.16142,540047.863115
POINT (-90.027092734627 30.032274434875),89552,SPEED RACER,8020 DOWNMAN RD,104,NEW ORLEANS,LA,70126,504-248-2005,1101 - CONVENIENCE STORES,COMPAK DELI INC,3694159.19933,559583.275165
POINT (-90.082290954478 29.926457491658),89534,MAGAZINE SPUR,2727 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-895-2001,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"AL-MONA, INC",3677114.0669,520909.258425
POINT (-90.016031973153 30.02675130464),89517,FUEL EXPRESS MART,6500 I 10 E SERVICE RD,,NEW ORLEANS,LA,70126,504-376-7699,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"M G EXPRESS, LLC",3697682.0097,557614.914971
POINT (-90.073182612543 29.943511889095),89488,CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3679930.89691,527142.464447
POINT (-90.011466385707 30.037513036258),89518,FUEL EXPRESS MART,7220 HAYNE BLVD,,NEW ORLEANS,LA,70126,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"GENTILLY EXPRESS,LLC",3699081.53405,561544.937055
POINT (-90.109879245303 29.96659747972),89494,COSTCO GASOLINE #1147,3800 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-483-9001,"1142 - GASOLINE STATIONS, OTHER",COSTCO WHOLESALE CORPORATION,3668219.71425,535411.318918
POINT (-90.076989294557 29.951922709288),89528,KENILWORTH SPUR,6501 I 10 E SERVICE RD,,NEW ORLEANS,LA,70126,504-782-3530,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HINGEL PETROLEUM,LLC",3678691.8167,530187.70942
POINT (-90.007042985288 29.916733849053),89555,STORE #140,4662 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-366-2413,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,4662 GDD LLC,3700989.42602,517641.475382
POINT (-89.994922090616 30.031374073576),89495,CROWDER CHEVRON,7000 CROWDER BLVD,,NEW ORLEANS,LA,70127,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"LILY & COMPANY, LLC",3704342.0833,559373.338333
POINT (-90.069067961704 29.96942363565),89493,CLAIBORNE EXPRESS,1249 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-220-0005,"1142 - GASOLINE STATIONS, OTHER","MUNTHER, LLC",3681130.01032,536579.285319
POINT (-90.090071243521 29.975255460943),89525,IDEAL DISCOUNT MARKET,3340 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ORLEANS AVENUE MARKET,LLC",3674457.15336,538627.199113
POINT (-90.021204489649 30.010279161891),89521,GASCO,5855 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,"1142 - GASOLINE STATIONS, OTHER","5855 CHEF MENTEUR HWY,LLC",3696113.88253,551606.230293
POINT (-89.954858808666 30.039402348485),89481,BULLARD CHEVRON,5701 BULLARD AVE,,NEW ORLEANS,LA,70128,504-279-6013,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BULLARD CHEVRON, INC",3716983.38597,562443.001631
POINT (-90.103081578882 30.004013750499),89532,LAKEVIEW DISCOUNT,932 HARRISON AVE,,NEW ORLEANS,LA,70124,504-895-2001,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LAKEVIEW DISCOUNT INC,3670225.90574,549040.399251
POINT (-90.058828593718 30.00028357776),89548,PETRO SAVE,3201 GENTILLY BLVD,,NEW ORLEANS,LA,70127,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"PETRO SAVE, LLC",3684247.07145,547837.04661
POINT (-90.041997317751 30.002939361841),89523,GENTILLY CHEVRON,4046 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-279-6013,"1142 - GASOLINE STATIONS, OTHER","GENTILLY CHEVRON, INC.",3689563.47318,548862.437843
POINT (-89.977914531494 30.015757924368),89487,CHEF MENTEUR SHELL,9232 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-982-6291,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,WYNVIA FOUR INC,3709790.62475,553757.983319
